,year,champion,coach,score,total_points,winners_points,losers_points,runner_up,site,record,season_wins,season_losses,win_percentage
59,1959,California ,Pete Newell,71-70,141,71,70,West Virginia,"Louisville, Ky.",25-4,25,4,86
60,1958,Kentucky ,Adolph Rupp,84-72,156,84,72,Seattle,"Louisville, Ky.",23-6,23,6,79
61,1957,North Carolina ,Frank McGuire,54-53,107,54,53,Kansas,"Kansas City, Mo.",32-0,32,0,100
62,1956,San Francisco ,Phil Woolpert,83-71,154,83,71,Iowa,"Evanston, Ill.",29-0,29,0,100
63,1955,San Francisco ,Phil Woolpert,77-63,140,77,63,LaSalle,"Kansas City, Mo.",28-1,28,1,97
64,1954,La Salle ,Ken Loeffler,92-76,168,92,76,Bradley,"Kansas City, Mo.",26-4,26,4,87
65,1953,Indiana ,Branch McCracken,69-68,137,69,68,Kansas,"Kansas City, Mo.",23-3,23,3,88
66,1952,Kansas ,Phog Allen,80-63,143,80,63,St. John's,"Seattle, Wash.",28-3,28,3,90
67,1951,Kentucky ,Adolph Rupp,68-58,126,68,58,Kansas State,"Minneapolis, Minn.",32-2,32,2,94
68,1950,CCNY ,Nat Holman,71-68,139,71,68,Bradley,"New York, N.Y.",24-5,24,5,83
69,1949,Kentucky ,Adolph Rupp,46-36,82,46,36,Oklahoma A&M,"Seattle, Wash.",32-2,32,2,94
70,1948,Kentucky ,Adolph Rupp,58-42,100,58,42,Baylor,"New York, N.Y.",36-3,36,3,92
71,1947,Holy Cross ,Doggie Julian,58-47,105,58,47,Oklahoma,"New York, N.Y.",27-3,27,3,90
72,1946,Oklahoma State ,Henry Iba,43-40,83,43,40,North Carolina,"New York, N.Y.",31-2,31,2,94
73,1945,Oklahoma State ,Henry Iba,49-45,94,49,45,NYU,"New York, N.Y.",27-4,27,4,87
74,1944,Utah ,Vadal Peterson,42-40,82,42,40,Dartmouth,"New York, N.Y.",21-4,21,4,84
75,1943,Wyoming ,Everett Shelton,46-34,80,46,34,Georgetown,"New York, N.Y.",31-2,31,2,94
76,1942,Stanford ,Everett Dean,53-38,91,53,38,Dartmouth,"Kansas City, Mo.",28-4,28,4,88
77,1941,Wisconsin ,Bud Foster,39-34,73,39,34,Washington State,"Kansas City, Mo.",20-3,20,3,87
78,1940,Indiana ,Branch McCracken,60-42,102,60,42,Kansas,"Kansas City, Mo.",20-3,20,3,87
79,1939,Oregon ,Howard Hobson,46-33,79,46,33,Ohio State,"Evanston, Ill.",29-5,29,5,85
